unique_id,account_number,name,bank,password,account_balance
100001,8358190375,buhari,XYZ Bank,buhari,1000.0
58130,4345990937,Sreeranjan,Unilag Bank,weaponed,10000.0
87370,2255040028,satyvani,Unilag Bank,weaponed,10000.0
42587,1609739822,royce,Unilag Bank,weaponede,10000.0
96775,1793660943,frank,Unilag Bank,weaponed,10000.0
58035,8291627435,doreen,Unilag Bank,weaponed,10000.0
10234,Adewole Tunde 1,Gtbank,12345,20000,
10234,Adewole Tunde 1,Gtbank,12345,20000,
73884,8108978817,sreeranjan,Unilag Bank,weaponed,10000.0
19163,8555583470,davidroyce,Unilag Bank,weaponed,10000.0
19129,1277726461,satyavani,Unilag Bank,12345678,10000.0
57320,6250764104,doreennithika,Unilag Bank,12345678,10000.0
77939,9445318152,godsgrace,Unilag Bank,weaponed,10000.0
88347,5373866442,doreennithika,Unilag Bank,weaponed,10000.0
65341,1102569517,sreeranjan,Unilag Bank,12345678,10000.0
37735,8373265920,ravalika,Unilag Bank,1234567890,10000.0
90040,9070385397,ravalika,Unilag Bank,1234567890,10000.0
13476,9988149372,ravalika,Unilag Bank,1234567890,10000.0
21827,9735853691,sreeranjan,Unilag Bank,1234567890,10000.0
71720,2222247845,dorasara,Unilag Bank,1234567890,10000.0
70384,5772252942,sreeranjan,Unilag Bank,1234567890,10000.0
50404,1456362898,aditya,Unilag Bank,Pramod@123,5000.0
22515,8834423945,anishreddy,Unilag Bank,anish@2222,10000.0
21695,1756739160,Aditya,Unilag Bank,Pramod@123,999999999998558.0
61770,2332366488,Surya,Unilag Bank,Surya@123,10000
46197,8549467010,AmujuriAdityaPramod,Unilag Bank,Pramod@123,10000
